incubation,time,total_C_umol,delta_13C,Fract13_CO2,perc_13C,D13C_CO2_perc,excess_13CO2_umol,excess_13C_kill_umol,Net_excess_13C_umol
PE,192,332.13160850051713,127.369,0.012446664374982534,1.2446664374982535,0.15076695006401053,0.5007446963347696,0.4562935950168766,0.04445110131789298
PE,192,349.8555690469484,127.959,0.01245309712438778,1.245309712438778,0.15141022500453505,0.5297171042848811,0.4562935950168766,0.07342350926800445
PE,216,355.44802899513996,143.01,0.012617169319414402,1.2617169319414403,0.16781744450719738,0.5965037988108458,0.4556102002415406,0.14089359856930522
PE,216,360.7195040014239,147.37,0.01266468785633396,1.266468785633396,0.17256929819915312,0.6224911165227233,0.4556102002415406,0.16688091628118268
PE,216,386.32381117480253,154.71,0.012744674328980526,1.2744674328980525,0.1805679454638096,0.6975769686758283,0.4556102002415406,0.24196676843428772
PE,216,370.5093861559511,152.17,0.01271699655283962,1.2716996552839621,0.1778001678497192,0.6587663104842453,0.4556102002415406,0.2031561102427047
PE,216,348.670418272775,155.93,0.012757967827247958,1.2757967827247958,0.18189729529055287,0.6342220603164355,0.4556102002415406,0.17861186007489488
PE,240,352.69482205694476,153.1,0.012727130721823413,1.2727130721823414,0.1788135847480985,0.6306662545409502,0.45492680546620456,0.1757394490747456
PE,240,343.85904363380627,158.53,0.012786297038981008,1.2786297038981007,0.1847302164638578,0.6352115556352815,0.45492680546620456,0.18028475016907697
PE,240,332.0780057362882,158.87,0.012790001508002436,1.2790001508002435,0.18510066336600062,0.614678591510455,0.45492680546620456,0.15975178604425044
PE,240,361.5306004800832,153.87,0.012735521220427521,1.2735521220427521,0.17965263460850922,0.6494992486784331,0.45492680546620456,0.19457244321222855
PE,240,342.3864138966165,156.69,0.012766248841920807,1.2766248841920806,0.18272539675783772,0.6256269332375249,0.45492680546620456,0.17070012777132038
PE,264,400.4847521375517,138.98,0.012573243301062373,1.2573243301062373,0.16342484267199442,0.6544915761061206,0.45424341069086854,0.2002481654152521
PE,264,373.11349209937373,125,0.012420834406849726,1.2420834406849726,0.14818395325072964,0.5528943227047007,0.45424341069086854,0.09865091201383219
PE,264,365.91052893143217,144.45,0.012632864020950265,1.2632864020950265,0.1693869146607836,0.6198045553759068,0.45424341069086854,0.1655611446850383
PE,264,370.95260314899116,148.25,0.012674278198969414,1.2674278198969415,0.1735283324626986,0.6437078664714163,0.45424341069086854,0.18946445578054777
PE,264,376.71497368334445,156.17,0.012760582899521427,1.2760582899521427,0.18215880251789973,0.6862194849672013,0.45424341069086854,0.23197607427633277
PE,336,359.05908251361745,157.92,0.012779650716051423,1.2779650716051423,0.18406558417089935,0.6609041977473615,0.4521932263648604,0.2087109713825011
PE,336,370.55438270708544,162.5,0.012829550429697995,1.2829550429697996,0.18905555553555664,0.7005536467882331,0.4521932263648604,0.24836042042337264
