Sample_ID,incubation,timepoint,time,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol,mDIC,total_C_umol
Kill_13C_PE_2_T2,Kill_13C_PE,T2,168,32.6,100,22,1,0,128.668,586.0593139649646,0.05860593139649647,0.0023881557505731465,2.3881557505731466,267.9971017307874,270.38525748136055
Kill_13C_PE_2_T3,Kill_13C_PE,T3,264,35.7,100,22,1,0,128.644,641.7888806303447,0.06417888806303447,0.002615250315811697,2.615250315811697,289.7106659179057,292.3259162337174
Kill_13C_PE_2_T4,Kill_13C_PE,T4,336,31.8,100,22,1,0,130.157,571.6774903093827,0.05716774903093828,0.0023295507014793274,2.3295507014793273,255.59854127643322,257.9280919779126
Kill_13C_PE_2_T5,Kill_13C_PE,T5,432,39.6,100,22,1,0,127.309,711.9002709513068,0.07119002709513068,0.002900949930144068,2.900949930144068,314.2928463963095,317.1937963264536
Kill_13C_PE_2_T6,Kill_13C_PE,T6,504,32.1,100,22,1,0,123.784,577.070674180226,0.0577070674180226,0.0023515275948895096,2.3515275948895096,252.38903795931466,254.74056555420418
Kill_13C_PE_2_T7,Kill_13C_PE,T7,600,39,100,22,1,0,129.666,701.1139032096203,0.07011139032096203,0.002856996143323703,2.8569961433237028,302.8705376047012,305.72753374802494
Kill_13C_PE_2_T8,Kill_13C_PE,T8,672,35.4,100,22,1,0,123.046,636.3956967595014,0.06363956967595015,0.002593273422401515,2.593273422401515,272.4012440365662,274.9945174589677
Kill_13C_PE_2_T9,Kill_13C_PE,T9,768,37.3,100,22,1,0,126.851,670.5525279415085,0.06705525279415085,0.002732460413999336,2.7324604139993363,283.56686933223415,286.29932974623347
Kill_13C_PE_3_T0,Kill_13C_PE,T0,0,40.8,100,22,1,0,129.302,733.4730064346796,0.07334730064346796,0.0029888575037847966,2.9888575037847964,343.22529520295205,346.21415270673685
Kill_13C_PE_3_T1,Kill_13C_PE,T1,96,34.4,100,22,1,0,130.352,618.418417190024,0.0618418417190024,0.0025200171110342402,2.52001711103424,285.58230428777955,288.1023213988138
Kill_13C_PE_3_T2,Kill_13C_PE,T2,168,51.6,100,22,1,0,129.649,927.627625785036,0.0927627625785036,0.0037800256665513608,3.780025666551361,424.1917315738844,427.97175724043575
