Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
C-3-SW,SW_background,T6,240,50,47.6,100,22,1,0,-11.21,645.7547794838821,0.06457547794838821,0.0026314111103380904,2.6314111103380906
C-1-SW,SW_background,T7,264,50,51.8,100,22,1,0,-11,702.7331423795188,0.07027331423795188,0.0028635944436032163,2.8635944436032164
C-2-SW,SW_background,T7,264,50,47.4,100,22,1,0,-10.41,643.0415241078994,0.06430415241078993,0.002620354761134989,2.620354761134989
C-3-SW,SW_background,T7,264,50,53.1,100,22,1,0,-10.78,720.3693023234064,0.07203693023234065,0.0029354607134233746,2.9354607134233746
C-1-SW,SW_background,T8,336,50,53.6,100,22,1,0,-10.85,727.1524407633631,0.07271524407633631,0.0029631015864311273,2.963101586431127
C-2-SW,SW_background,T8,336,50,49.8,100,22,1,0,-10.94,675.6005886196917,0.06756005886196918,0.002753030951572204,2.753030951572204
C-3-SW,SW_background,T8,336,50,55.4,100,22,1,0,-10.89,751.5717391472073,0.07515717391472072,0.003062608729259038,3.0626087292590376
C-1-SW,SW_background,T9,360,50,56.2,100,22,1,0,-10.59,762.4247606511382,0.07624247606511382,0.0031068341260714434,3.106834126071443
C-2-SW,SW_background,T9,360,50,51.2,100,22,1,0,-10.66,694.5933762515707,0.06945933762515707,0.0028304253959939127,2.8304253959939127
C-3-SW,SW_background,T9,360,50,54.2,100,22,1,0,-10.9,735.2922068913111,0.07352922068913112,0.002996270634040431,2.996270634040431
C-1-SW,SW_background,T10,384,50,55.8,100,22,1,0,-10.48,756.9982498991727,0.07569982498991727,0.0030847214276652404,3.08472142766524
C-2-SW,SW_background,T10,384,50,48.9,100,22,1,0,-10.38,663.3909394277696,0.06633909394277696,0.0027032773801582482,2.7032773801582484
C-3-SW,SW_background,T10,384,50,51,100,22,1,0,-10.7,691.880120875588,0.0691880120875588,0.002819369046790811,2.8193690467908112
C-1-SW,SW_background,T11,408,50,57.3,100,22,1,0,-10.17,777.3476652190429,0.0777347665219043,0.0031676440466884997,3.1676440466885
C-2-SW,SW_background,T11,408,50,55,100,22,1,0,-10,746.1452283952419,0.0746145228395242,0.003040496030852836,3.040496030852836
C-3-SW,SW_background,T11,408,50,57.9,100,22,1,0,-11.31,785.487431346991,0.0785487431346991,0.0032008130942978033,3.2008130942978035
C-1-SW,SW_background,T12,432,50,58.3,100,22,1,0,-10.22,790.9139420989565,0.07909139420989565,0.003222925792704006,3.222925792704006
C-2-SW,SW_background,T12,432,50,53.1,100,22,1,0,-10.36,720.3693023234064,0.07203693023234065,0.0029354607134233746,2.9354607134233746
C-3-SW,SW_background,T12,432,50,57.6,100,22,1,0,-10.73,781.417548283017,0.07814175482830171,0.003184228570493152,3.1842285704931523
C-1-SW,SW_background,T13,504,50,60.2,100,22,1,0,-10.98,816.6898681707921,0.08166898681707922,0.003327961110133468,3.327961110133468
C-2-SW,SW_background,T13,504,50,57.9,100,22,1,0,-12.2,785.487431346991,0.0785487431346991,0.0032008130942978033,3.2008130942978035
C-3-SW,SW_background,T13,504,50,59.6,100,22,1,0,-10.99,808.5501020428441,0.08085501020428441,0.003294792062524164,3.2947920625241642
C-1-SW,SW_background,T14,552,50,63.1,100,22,1,0,-10.9,856.0320711225412,0.08560320711225412,0.003488278173578435,3.488278173578435
C-2-SW,SW_background,T14,552,50,61,100,22,1,0,-10.57,827.5428896747229,0.08275428896747229,0.0033721865069458725,3.3721865069458725
C-3-SW,SW_background,T14,552,50,62.6,100,22,1,0,-10.72,849.2489326825845,0.08492489326825846,0.0034606373005706824,3.4606373005706823
C-1-SW,SW_background,T15,600,50,70.1,100,22,1,0,-8.17,950.9960092819356,0.09509960092819356,0.0038752503956869773,3.8752503956869773
C-2-SW,SW_background,T15,600,50,63.1,100,22,1,0,-10.06,856.0320711225412,0.08560320711225412,0.003488278173578435,3.488278173578435
C-3-SW,SW_background,T15,600,50,67.2,100,22,1,0,-10.74,911.6538063301865,0.09116538063301866,0.0037149333322420105,3.7149333322420106
C-1-SW,SW_background,T16,696,50,69,100,22,1,0,-11.03,936.0731047140308,0.09360731047140308,0.0038144404750699214,3.8144404750699215
C-2-SW,SW_background,T16,696,50,62.4,100,22,1,0,-14.11,846.5356773066018,0.08465356773066018,0.0034495809513675813,3.4495809513675812
C-3-SW,SW_background,T16,696,50,67.2,100,22,1,0,-12.35,911.6538063301865,0.09116538063301866,0.0037149333322420105,3.7149333322420106
