Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
T0-4-PP,PP,T0,24,50,37.4,100,22,1,0,165.71,507.3787553087645,0.05073787553087645,0.002067537300979928,2.067537300979928
T0-5-PP,PP,T0,24,50,36.5,100,22,1,0,159.52,495.1691061168424,0.04951691061168424,0.002017783729565973,2.017783729565973
T2-1-PE,PE,T2,72,50,40.5,100,22,1,0,151.81,549.4342136364963,0.05494342136364964,0.002238910713627997,2.2389107136279973
T2-2-PE,PE,T2,72,50,40.5,100,22,1,0,152.54,549.4342136364963,0.05494342136364964,0.002238910713627997,2.2389107136279973
T2-3-PE,PE,T2,72,50,43.2,100,22,1,0,153.5,586.0631612122628,0.058606316121226285,0.002388171427869864,2.388171427869864
T2-4-PE,PE,T2,72,50,40.9,100,22,1,0,146.61,554.8607243884617,0.05548607243884617,0.0022610234120341998,2.2610234120342
T2-5-PE,PE,T2,72,50,40.2,100,22,1,0,151.32,545.3643305725224,0.05453643305725224,0.0022223261898233456,2.2223261898233457
T2-1-PP,PP,T2,72,50,42.6,100,22,1,0,221.87,577.9233950843147,0.057792339508431476,0.00235500238026056,2.35500238026056
T2-2-PP,PP,T2,72,50,44,100,22,1,0,212.7,596.9161827161936,0.05969161827161936,0.002432396824682269,2.432396824682269
T2-3-PP,PP,T2,72,50,42.2,100,22,1,0,217.5,572.4968843323493,0.057249688433234934,0.002332889681854358,2.332889681854358
T2-4-PP,PP,T2,72,50,42,100,22,1,0,214.79,569.7836289563666,0.05697836289563666,0.0023218333326512565,2.3218333326512566
T2-5-PP,PP,T2,72,50,42.3,100,22,1,0,203.04,573.8535120203405,0.05738535120203406,0.002338417856455908,2.338417856455908
T3-1-PE,PE,T3,96,50,41.9,100,22,1,0,152.18,568.4270012683752,0.05684270012683752,0.0023163051580497055,2.3163051580497056
T3-2-PE,PE,T3,96,50,40.8,100,22,1,0,153.59,553.5040967004703,0.055350409670047035,0.002255495237432649,2.255495237432649
T3-3-PE,PE,T3,96,50,40.8,100,22,1,0,146.51,553.5040967004703,0.055350409670047035,0.002255495237432649,2.255495237432649
T3-4-PE,PE,T3,96,50,41.3,100,22,1,0,146.37,560.2872351404271,0.056028723514042714,0.002283136110440402,2.283136110440402
T3-5-PE,PE,T3,96,50,40.4,100,22,1,0,148.02,548.077585948505,0.0548077585948505,0.0022333825390264466,2.233382539026447
T3-1-PP,PP,T3,96,50,41.4,100,22,1,0,222.7,561.6438628284185,0.05616438628284185,0.002288664285041953,2.288664285041953
T3-2-PP,PP,T3,96,50,42.6,100,22,1,0,217.79,577.9233950843147,0.057792339508431476,0.00235500238026056,2.35500238026056
T3-3-PP,PP,T3,96,50,46,100,22,1,0,222.66,624.0487364760205,0.062404873647602055,0.002542960316713281,2.542960316713281
T3-4-PP,PP,T3,96,50,42.3,100,22,1,0,224.29,573.8535120203405,0.05738535120203406,0.002338417856455908,2.338417856455908
T3-5-PP,PP,T3,96,50,41.4,100,22,1,0,209.16,561.6438628284185,0.05616438628284185,0.002288664285041953,2.288664285041953
T4-1-PE,PE,T4,192,50,46,100,22,1,0,124.103,624.0487364760205,0.062404873647602055,0.002542960316713281,2.542960316713281
T4-2-PE,PE,T4,192,50,41,100,22,1,0,130.171,556.217352076453,0.05562173520764531,0.0022665515866357503,2.2665515866357504
T4-3-PE,PE,T4,192,50,43.3,100,22,1,0,125.568,587.419788900254,0.05874197889002541,0.0023936996024714143,2.3936996024714143
T4-4-PE,PE,T4,192,50,43.1,100,22,1,0,127.369,584.7065335242714,0.05847065335242715,0.0023826432532683133,2.3826432532683133
T4-5-PE,PE,T4,192,50,45.4,100,22,1,0,127.959,615.9089703480724,0.061590897034807246,0.0025097912691039773,2.509791269103977
T4-1-PP,PP,T4,192,50,45.4,100,22,1,0,221.7,615.9089703480724,0.061590897034807246,0.0025097912691039773,2.509791269103977
T4-2-PP,PP,T4,192,50,49.1,100,22,1,0,209.38,666.1041948037524,0.06661041948037524,0.00271433372936135,2.7143337293613503
T4-3-PP,PP,T4,192,50,51,100,22,1,0,221.32,691.880120875588,0.0691880120875588,0.002819369046790811,2.8193690467908112
T4-4-PP,PP,T4,192,50,50.3,100,22,1,0,227.74,682.3837270596485,0.06823837270596486,0.0027806718245799575,2.7806718245799575
T4-5-PP,PP,T4,192,50,48.3,100,22,1,0,215.49,655.2511732998215,0.06552511732998216,0.002670108332548945,2.670108332548945
T5-1-PE,PE,T5,216,50,47.2,100,22,1,0,143.01,640.3282687319168,0.06403282687319167,0.0026092984119318883,2.609298411931888
T5-2-PE,PE,T5,216,50,47.9,100,22,1,0,147.37,649.8246625478562,0.06498246625478563,0.002647995634142743,2.647995634142743
T5-3-PE,PE,T5,216,50,51.3,100,22,1,0,154.71,695.950003939562,0.0695950003939562,0.0028359535705954632,2.8359535705954633
T5-4-PE,PE,T5,216,50,49.2,100,22,1,0,152.17,667.4608224917438,0.06674608224917439,0.002719861903962901,2.7198619039629013
T5-5-PE,PE,T5,216,50,46.3,100,22,1,0,155.93,628.1186195399946,0.06281186195399946,0.0025595448405179326,2.5595448405179324
T5-1-PP,PP,T5,216,50,49.5,100,22,1,0,236.31,671.5307055557178,0.06715307055557178,0.0027364464277675523,2.7364464277675524
T5-2-PP,PP,T5,216,50,48.1,100,22,1,0,230.28,652.5379179238389,0.0652537917923839,0.002659051983345844,2.659051983345844
T5-3-PP,PP,T5,216,50,49.7,100,22,1,0,238.03,674.2439609317005,0.06742439609317005,0.002747502776970654,2.747502776970654
T5-4-PP,PP,T5,216,50,50.3,100,22,1,0,238.58,682.3837270596485,0.06823837270596486,0.0027806718245799575,2.7806718245799575
T5-5-PP,PP,T5,216,50,50.5,100,22,1,0,217.54,685.0969824356313,0.06850969824356314,0.0027917281737830585,2.7917281737830586
T6-1-PE,PE,T6,240,50,47.9,100,22,1,0,153.1,649.8246625478562,0.06498246625478563,0.002647995634142743,2.647995634142743
T6-2-PE,PE,T6,240,50,46.7,100,22,1,0,158.53,633.54513029196,0.06335451302919601,0.0025816575389241356,2.5816575389241354
T6-3-PE,PE,T6,240,50,45.1,100,22,1,0,158.87,611.8390872840984,0.06118390872840984,0.0024932067452993253,2.493206745299325
T6-4-PE,PE,T6,240,50,49.1,100,22,1,0,153.87,666.1041948037524,0.06661041948037524,0.00271433372936135,2.7143337293613503
T6-5-PE,PE,T6,240,50,46.5,100,22,1,0,156.69,630.8318749159773,0.06308318749159773,0.002570601189721034,2.570601189721034
T6-1-PP,PP,T6,240,50,48.3,100,22,1,0,250.86,655.2511732998215,0.06552511732998216,0.002670108332548945,2.670108332548945
T6-2-PP,PP,T6,240,50,48.3,100,22,1,0,242.47,655.2511732998215,0.06552511732998216,0.002670108332548945,2.670108332548945
T6-3-PP,PP,T6,240,50,48.5,100,22,1,0,241.6,657.9644286758042,0.06579644286758042,0.0026811646817520456,2.681164681752046
T6-4-PP,PP,T6,240,50,50.2,100,22,1,0,250.7,681.0270993716572,0.06810270993716572,0.0027751436499784065,2.7751436499784066
T6-5-PP,PP,T6,240,50,49.5,100,22,1,0,232.31,671.5307055557178,0.06715307055557178,0.0027364464277675523,2.7364464277675524
T7-1-PE,PE,T7,264,50,55.6,100,22,1,0,138.98,754.2849945231901,0.07542849945231901,0.0030736650784621397,3.0736650784621395
T7-2-PE,PE,T7,264,50,51.8,100,22,1,0,125,702.7331423795188,0.07027331423795188,0.0028635944436032163,2.8635944436032164
T7-3-PE,PE,T7,264,50,50.8,100,22,1,0,144.45,689.1668654996053,0.06891668654996053,0.00280831269758771,2.80831269758771
T7-4-PE,PE,T7,264,50,51.5,100,22,1,0,148.25,698.6632593155447,0.06986632593155447,0.002847009919798564,2.847009919798564
T7-5-PE,PE,T7,264,50,52.3,100,22,1,0,156.17,709.5162808194755,0.07095162808194755,0.002891235316610969,2.891235316610969
T7-1-PP,PP,T7,264,50,50.9,100,22,1,0,246.84,690.5234931875966,0.06905234931875967,0.002813840872189261,2.813840872189261
T7-2-PP,PP,T7,264,50,52.8,100,22,1,0,239.51,716.2994192594322,0.07162994192594323,0.002918876189618722,2.918876189618722
T7-3-PP,PP,T7,264,50,55.2,100,22,1,0,247.08,748.8584837712247,0.07488584837712246,0.0030515523800559367,3.0515523800559365
T7-4-PP,PP,T7,264,50,56.1,100,22,1,0,251.83,761.0681329631468,0.07610681329631469,0.003101305951469893,3.1013059514698926
T7-5-PP,PP,T7,264,50,53,100,22,1,0,218.85,719.012674635415,0.0719012674635415,0.0029299325388218236,2.9299325388218236
T8-1-PE,PE,T8,336,50,53.1,100,22,1,0,157.92,720.3693023234064,0.07203693023234065,0.0029354607134233746,2.9354607134233746
T8-2-PE,PE,T8,336,50,54.8,100,22,1,0,162.5,743.4319730192592,0.07434319730192593,0.0030294396816497346,3.0294396816497344
T8-3-PE,PE,T8,336,50,54,100,22,1,0,162.56,732.5789515153284,0.07325789515153285,0.0029852142848373294,2.9852142848373293
T8-4-PE,PE,T8,336,50,57.7,100,22,1,0,157.08,782.7741759710084,0.07827741759710084,0.0031897567450947023,3.1897567450947024
T8-5-PE,PE,T8,336,50,53.4,100,22,1,0,159.73,724.4391853873803,0.07244391853873804,0.0029520452372280258,2.9520452372280257
T8-1-PP,PP,T8,336,50,52.9,100,22,1,0,261.67,717.6560469474236,0.07176560469474237,0.002924404364220273,2.924404364220273
