Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol,mDIC,total_C_umol
T6-2-PE,PE,T6,240,50,46.7,100,22,1,0,158.53,633.54513029196,0.06335451302919601,0.0025816575389241356,2.5816575389241354,341.2773860948821,343.85904363380627
T6-3-PE,PE,T6,240,50,45.1,100,22,1,0,158.87,611.8390872840984,0.06118390872840984,0.0024932067452993253,2.493206745299325,329.5847989909889,332.0780057362882
T6-4-PE,PE,T6,240,50,49.1,100,22,1,0,153.87,666.1041948037524,0.06661041948037524,0.00271433372936135,2.7143337293613503,358.81626675072187,361.5306004800832
T6-5-PE,PE,T6,240,50,46.5,100,22,1,0,156.69,630.8318749159773,0.06308318749159773,0.002570601189721034,2.570601189721034,339.81581270689543,342.3864138966165
T6-1-PP,PP,T6,240,50,48.3,100,22,1,0,250.86,655.2511732998215,0.06552511732998216,0.002670108332548945,2.670108332548945,348.4666726065429,351.1367809390918
T6-2-PP,PP,T6,240,50,48.3,100,22,1,0,242.47,655.2511732998215,0.06552511732998216,0.002670108332548945,2.670108332548945,348.4666726065429,351.1367809390918
T6-3-PP,PP,T6,240,50,48.5,100,22,1,0,241.6,657.9644286758042,0.06579644286758042,0.0026811646817520456,2.681164681752046,349.9095987871082,352.59076346886025
T6-4-PP,PP,T6,240,50,50.2,100,22,1,0,250.7,681.0270993716572,0.06810270993716572,0.0027751436499784065,2.7751436499784066,362.1744713219141,364.9496149718925
T6-5-PP,PP,T6,240,50,49.5,100,22,1,0,232.31,671.5307055557178,0.06715307055557178,0.0027364464277675523,2.7364464277675524,357.12422968993525,359.8606761177028
T7-1-PE,PE,T7,264,50,55.6,100,22,1,0,138.98,754.2849945231901,0.07542849945231901,0.0030736650784621397,3.0736650784621395,397.4110870590896,400.4847521375517
T7-2-PE,PE,T7,264,50,51.8,100,22,1,0,125,702.7331423795188,0.07027331423795188,0.0028635944436032163,2.8635944436032164,370.2498976557705,373.11349209937373
T7-3-PE,PE,T7,264,50,50.8,100,22,1,0,144.45,689.1668654996053,0.06891668654996053,0.00280831269758771,2.80831269758771,363.10221623384444,365.91052893143217
T7-4-PE,PE,T7,264,50,51.5,100,22,1,0,148.25,698.6632593155447,0.06986632593155447,0.002847009919798564,2.847009919798564,368.1055932291926,370.95260314899116
T7-5-PE,PE,T7,264,50,52.3,100,22,1,0,156.17,709.5162808194755,0.07095162808194755,0.002891235316610969,2.891235316610969,373.8237383667335,376.71497368334445
T7-1-PP,PP,T7,264,50,50.9,100,22,1,0,246.84,690.5234931875966,0.06905234931875967,0.002813840872189261,2.813840872189261,358.37669576631606,361.1905366385053
T7-2-PP,PP,T7,264,50,52.8,100,22,1,0,239.51,716.2994192594322,0.07162994192594323,0.002918876189618722,2.918876189618722,371.75421486171876,374.6730910513375
T7-3-PP,PP,T7,264,50,55.2,100,22,1,0,247.08,748.8584837712247,0.07488584837712246,0.0030515523800559367,3.0515523800559365,388.6521337190696,391.7036860991255
T7-4-PP,PP,T7,264,50,56.1,100,22,1,0,251.83,761.0681329631468,0.07610681329631469,0.003101305951469893,3.1013059514698926,394.98885329057623,398.0901592420461
