incubation,time,average_CO2_mmol,std_CO2_mmol,average_CO2_umol,std_CO2_umol,average_delta_13c,std_delta_13c
PP,96,0.002362741824702731,1.0500621774267807e-4,2.362741824702731,0.10500621774267796,219.32,6.1815734242990255
PP,192,0.0026988548404770084,1.2044571863564233e-4,2.6988548404770083,0.1204457186356424,219.126,6.961413649539871
PP,216,0.002743080237289413,5.221126053573549e-5,2.7430802372894134,0.05221126053573544,232.148,8.80587701481233
PP,240,0.002706594284919179,4.7167997733173835e-5,2.706594284919179,0.047167997733173796,243.588,7.678832593565248
PP,264,0.0029631015864311273,1.1430094232676077e-4,2.963101586431127,0.11430094232676066,240.822,13.04842021089144
PP,336,0.003070348173701209,1.0031771159784283e-4,3.070348173701209,0.10031771159784288,255.394,8.19484777161846
PP,360,0.003143320078441677,5.83215870456903e-5,3.1433200784416773,0.05832158704569041,257.852,7.728833676564652
PP,384,0.0033202216656912967,1.9248052913919774e-4,3.320221665691297,0.19248052913919775,254.71,11.113008143612598
PP,408,0.0034915950783393655,5.961720462797761e-5,3.4915950783393654,0.05961720462797755,207.176,6.971630368859216
PP,432,0.0033710808720255623,9.376735860702523e-5,3.3710808720255625,0.09376735860702515,242.57,19.671344641381285
PP,504,0.003500440157701847,1.466477914631991e-4,3.5004401577018465,0.14664779146319903,260.796,8.026576480667208
PP,552,0.003731517856046662,5.373999919226063e-5,3.731517856046662,0.053739999192260586,262.668,7.464125534850016
PP,600,0.004001292776602332,6.416017637973232e-5,4.001292776602332,0.06416017637973231,262.396,6.180228960159967
PP,696,0.004037778728972566,1.620047577955257e-4,4.037778728972566,0.16200475779552573,263.636,11.224367688204099
SW_background,0,0.0020435818777065425,3.5968554470093034e-5,2.043581877706542,0.035968554470093,-8.555666666666667,0.9189936524989348
SW_background,24,0.002050952777175277,3.0779573538015594e-5,2.0509527771752767,0.030779573538015567,-10.2655,0.1350573952066311
SW_background,48,0.0022370679887608134,1.0032278879052775e-4,2.2370679887608134,0.1003227887905279,-10.986666666666666,0.2730079363925772
SW_background,72,0.0023255187823856232,5.3120359862575475e-5,2.3255187823856236,0.05312035986257543,-10.756666666666666,0.05131601439446948
SW_background,96,0.0023347324067215414,2.301562621432063e-5,2.334732406721541,0.023015626214320618,-10.68,0.09848857801796067
SW_background,192,0.0024416104490181862,6.664450837440881e-5,2.441610449018186,0.06664450837440875,-10.74,0.15874507866387508
SW_background,216,0.0025079485442367935,1.6734336353234442e-4,2.5079485442367937,0.16734336353234452,-11.213333333333333,0.49571497186723457
SW_background,240,0.002631411110338091,2.764087300775311e-5,2.6314111103380906,0.027640873007753308,-10.856666666666667,0.307462734869339
SW_background,264,0.0028064699727205268,1.6513734941591213e-4,2.8064699727205267,0.165137349415912,-10.73,0.29816103031751134
SW_background,336,0.0029262470890874565,1.5804521691661748e-4,2.926247089087456,0.15804521691661733,-10.893333333333333,0.04509249752822884
SW_background,360,0.0029778433853685955,1.3912267656991992e-4,2.9778433853685957,0.13912267656991978,-10.716666666666667,0.16258331197676287
SW_background,384,0.0028691226182047664,1.9552865198216294e-4,2.8691226182047664,0.19552865198216277,-10.52,0.1637070554374482
SW_background,408,0.00313631772394638,8.46250204154304e-5,3.1363177239463798,0.08462502041543057,-10.493333333333334,0.7123435500749156
SW_background,432,0.0031142050255401777,1.5600165251461554e-4,3.1142050255401776,0.15600165251461565,-10.436666666666667,0.2635020556529557
SW_background,504,0.003274522088985145,6.595307690465242e-5,3.274522088985145,0.06595307690465237,-11.39,0.7014983962918228
SW_background,552,0.003440367327031663,6.064216879231735e-5,3.4403673270316633,0.06064216879231729,-10.73,0.1652271164185831
SW_background,600,0.0036928206338358075,1.9443148856090287e-4,3.6928206338358076,0.19443148856090292,-9.656666666666666,1.3316280762034622
SW_background,696,0.0036596515862265043,1.8860718859833208e-4,3.6596515862265044,0.18860718859833217,-12.496666666666666,1.5452292170850683
